date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:36:18	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.36.delayed	(from http://gpgproperty.com.au/Index/SubCatalog/4)
01:36:18	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.37.delayed	(from http://gpgproperty.com.au/Index/ContactUs)
01:36:18	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.38.delayed	(from http://gpgproperty.com.au/Index/Agent)
01:36:19	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.3a.delayed	(from http://gpgproperty.com.au/Index/Property/6)
01:36:19	2874/2874	---M--	200	added ('OK')	image/jpeg	etag:%22fb253c739259cf1:0%22	http://gpgproperty.com.au/Content/lib/profile.jpg	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Content/lib/profile.jpg	(from http://gpgproperty.com.au/Index/Agent)
01:36:20	4335/4335	---M-Z	200	added ('OK')	text/css	etag:%222e8c529f9259cf1:0%22	http://gpgproperty.com.au/Scripts/gallery/css/jquery.galleryview-3.0-dev.css	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Scripts/gallery/css/jquery.galleryview-3.0-dev.css	(from http://gpgproperty.com.au/Index/Property/6)
01:36:21	8097/8097	---M-Z	200	added ('OK')	application/javascript	etag:%22c8d51aa09259cf1:0%22	http://gpgproperty.com.au/Scripts/gallery/js/jquery.easing.1.3.js	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Scripts/gallery/js/jquery.easing.1.3.js	(from http://gpgproperty.com.au/Index/Property/6)
01:36:21	3201/3201	---M-Z	200	added ('OK')	application/javascript	etag:%22f9985da09259cf1:0%22	http://gpgproperty.com.au/Scripts/gallery/js/jquery.timers-1.2.js	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Scripts/gallery/js/jquery.timers-1.2.js	(from http://gpgproperty.com.au/Index/Property/6)
01:36:21	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.3f.delayed	(from http://gpgproperty.com.au/Index/Property/5)
01:36:21	35261/35261	---M-Z	200	added ('OK')	application/javascript	etag:%2219864aa09259cf1:0%22	http://gpgproperty.com.au/Scripts/gallery/js/jquery.galleryview-3.0-dev.js	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Scripts/gallery/js/jquery.galleryview-3.0-dev.js	(from http://gpgproperty.com.au/Index/Property/6)
01:36:21	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.40.delayed	(from http://gpgproperty.com.au/Index/Property/4)
01:36:22	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.41.delayed	(from http://gpgproperty.com.au/Index/Property/3)
01:36:32	3887681/3887681	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:36:19%20GMT	http://gpgproperty.com.au/Index/Agent/2	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Agent/2.html	(from http://gpgproperty.com.au/)
01:36:32	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.42.delayed	(from http://gpgproperty.com.au/Index/Agent/2)
01:36:33	3887681/3887681	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20May%202014%2015:36:21%20GMT	http://gpgproperty.com.au/Index/Agent/6	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Agent/6.html	(from http://gpgproperty.com.au/)
01:36:33	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.43.delayed	(from http://gpgproperty.com.au/Index/Agent/6)
01:36:33	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.44.delayed	(from http://gpgproperty.com.au/Index/News/20)
01:36:33	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.45.delayed	(from http://gpgproperty.com.au/Index/News/19)
01:36:33	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.46.delayed	(from http://gpgproperty.com.au/Index/News/18)
01:36:33	0/-1	---M--	302	error ('')			http://gpgproperty.com.au/Index/Lang/Chinese	E:/helin/www/greenlandproperty/oldsite/en2/greenlandproperty_dump2/gpgproperty.com.au/Index/Lang/Chinese.47.delayed	(from http://gpgproperty.com.au/Index/News/16)
